"'ave a Gander", "have a look"
"Raining cats'n'dogs", "heavy storm & rain"
"Ratbag", "not a nice person"
"Reckon", "opinion"
"Ridgie didge", "true or genuine article"
"Righto", "okay or that's right"
"Ring-in", "substitute"
"Rip off", "to have been cheated"
"Rip snorter", "something is great"
"Ripper", "it's really great"
"Road train", "multi-trailered semi truck"
"Sacked", "put off from work"
"Sanga", "sandwich"
"Schooner", "large beer glass"
"Servo", "service station for cars"
"She'll be right!", "everything will be ok"
"Sheila", "woman"
"Shonky", "poor quality"
"Shoot through", "to leave in a hurry"
"Shout", "usually means buy some friends a beer at the pub, after your turn then it is theirs"
"Shove off!", "told to get lost in a angry way"
"Sickie", "a day taken off work not necessarily from illness"
"Skip", "australian born"
"Skite", "bragger"
"Snag", "sausage"
"Sparkie", "electrician"
"Spit the dummie", "end result from getting upset about something"
"Spud", "potato"
"Squatter", "someone who lives on someone else's land or house with out permission"
"Stickybeak", "someone can not mind their own business"
"Stone the crows!", "shocked at something"
"Stone the crows", "exclamation of amazement"
"Strewth", "shock at something"
"Stubby", "small bottle of beer"
"Stuffed", "very tired"
"Stunded mullet", "to describe someone who has a surprised look on their face"
"Suss it out", "check something out"
"Swag", "canvas bag or cover that you keep all your belonging and bedroll in, to protect it from the weather when camping out"
"Swagman", "a man who travels around the country on foot"
"Ta or Tar", "thanks"
"Tax", "to steal"
"Tea", "evening meal"
"The John", "the toilet"
"The Nuddy", "naked"
"Thongs", "sandals made from rubber"
"Thunder box", "toilet"
"Tinnie", "can of beer or a aluminum boat"
"Too right!", "something is absolutely right & correct"
"True blue", "totally australian"
"Tucker", "food"
"Tuckerbag", "a bag for storing food in the bush"
"Turn it up", "take a look at yourself for a moment"
"Two-up", "traditional australian heads or tails gambling game with two coins originally played by the diggers in the war"
"undees", "underpants"
"Up shit creek", "things are going wrong for you"
"Up your nose", "something that annoys you"
"Up yourself", "full of yourself"
"Veg-out", "to relax"
"Vegies", "vegetables"
"Wag", "skip school, truency"
"Walkabout", "go for a long walk, aboriginals used this period for spiritual enlightenment"
"Wally", "someone who keeps making mistakes"
"Wanker", "a male that is really stupid but they think they are the greatest"
"Waterhole", "pub or hotel"
"White pointer", "great white shark"
"Whopper", "something surprisingly big"
"Winge", "complain and carry on unnecessarily"
"Woomera stick", "used by aborigines to throw spears"
"Woop woop", "somewhere a long way from civilization"
"Wowser", "a killjoy"
"Wrapped", "excited about something good that has happened"
"Yabbie", "freshwater australian crayfish"
"Yakka", "hard work"
"Yarn", "a story that can be true or fictional"
"Yobbo", "stupid or uncultivated person"
"Yonks", "a long period of time"
"Zebra crossing", "painted white lines on the black road used as a pedestrain crossing on a roadway"
"Zits", "acne"
"Zonked", "really really tired"
