"Meaning Life", "bethany"
"Meaning Lightning", "barak"
"Meaning Like a Bird", "byrd"
"Meaning Like a King", "basil"
"Meaning Little Blessed One", "bennett"
"Meaning Little Rabbit", "bunny"
"Meaning Little Raven", "brenna"
"Meaning Little Top", "barran"
"Meaning Lively", "bibiana"
"Meaning Lively", "bibiane"
"Meaning Location Name", "bisbee"
"Meaning Married", "beulah"
"Meaning Messenger, Friend", "bud"
"Meaning Minstrel, Poet", "baird"
"Meaning Most Treasured", "bo"
"Meaning Mountain", "berg"
"Meaning Near the Meadow of the Beavers", "beverly"
"Meaning Near the Woods", "burian"
"Meaning Noble Man", "baron"
"Meaning Of the City of Bubastis", "bast"
"Meaning One of the 3 Kings", "balthasar"
"Meaning One Who Brews Beer", "brewster"
"Meaning Perfect Joy", "bliss"
"Meaning Pet form of BINGHAM", "bing"
"Meaning Pheasant", "bena"
"Meaning Pretty, Beautiful", "bonita"
"Meaning Pupil of an Eye", "bilen"
"Meaning Raven-like", "brennan"
"Meaning Region in France", "brielle"
"Meaning Running Water", "brooks"
"Meaning Sacred Wood", "bel"
"Meaning Scottish name for a child", "bairn"
"Meaning Sea Man", "bahari"
"Meaning Second Born of Twins", "banji"
"Meaning Secretive", "bian"
"Meaning Secretive", "biana"
"Meaning She of Fair Skin", "bela"
"Meaning Shining", "bertha"
"Meaning Small Hill", "brynn"
"Meaning Son of a Prophecy", "barnabas"
"Meaning Son of BENJAMIN", "benson"
"Meaning Son of Evan", "bevan"
"Meaning Son of HARRY", "barry"
"Meaning Son of My Right Hand", "benjamin"
"Meaning Son of OWEN", "bowen"
"Meaning Sorrow", "brone"
"Meaning Stone", "bedros"
"Meaning Strange, Foreign", "barbara"
"Meaning Strength", "brygid"
"Meaning Strife", "brazil"
"Meaning Strong One", "brian"
"Meaning Strong One", "brianna"
"Meaning Strong One", "brianne"
"Meaning Strong One", "bryan"
"Meaning Strong One", "bryanne"
"Meaning Strong, Fierce One", "bronson"
"Meaning Strong, Honorable", "bryant"
"Meaning Strong, Virtuous, Honorable", "breanna"
"Meaning Strong, Virtuous, Honorable", "briana"
"Meaning Strong", "bridget"
"Meaning Strong", "brigit"
"Meaning Sweet, Melodious", "bebhin"
"Meaning Swift, Strong", "boaz"
"Meaning The Brook", "beck"
"Meaning The Glaciar", "brede"
"Meaning The One Who Brings Joy", "beate"
"Meaning The Son of RICE", "brice"
"Meaning The Source of a River", "blaine"
"Meaning The Source", "bron"
"Meaning To Bind", "bond"
"Meaning To Sparkle", "brilliant"
"Meaning Town of Barr", "barrington"
"Meaning Venerable, Revered", "bastien"
"Meaning Victorious", "berenice"
"Meaning Vine with Small Blossoms", "bryony"
"Meaning Virtuous, Princess", "brinly"
"Meaning Warrior", "boris"
"Meaning White", "blake"
"Meaning White", "blanche"
"Meaning With Red-Brown Hair", "bayard"
"Meaning Woods", "bruce"
"Meaning Yellow Haired", "boyd"
